Ionescu,Marius,ionescu.marius@gmail.com,0725846356,Suceava,Suceava,Romania,1990305373537,05/03/1999,Liceu_nr.67,9.4,1, Facultatea_de_matematica_si_informatica, Informatica,6.5,-1
Popescu,Ioana,popescu.ioana@gmail.com,0725545456,Ramnicu-Valcea,Valcea,Romania,2990908345538,08/09/1999,Liceu_nr.40,6.2,1, Facultatea_de_matematica_si_informatica, Informatica,2.2,-1
Popa,Raluca,popa.raluca@gmail.com,0754989543,Bucuresti,Bucuresti,Romania,60002013453533,02/01/2000,Liceu_nr.75,9.0,1, Facultatea_de_biologie, Biochimie,8.2,-1
Corint,Paul,corint_paul@gmail.com,0652534356,Slatina,Olt,Romania,1980725646464,25/07/1998,Liceul_nr5,8.8,1, Facultatea_de_biologie, Biologie,7.8,-1
Falcareanu,Mara,falcareanu_mara@gmail.com,0753949349,Pitesti,Arges,Romania,2990606474747,06/06/1999,Liceul_nr105,9.5,1, Facultatea_de_biologie, Biologie,9.2,-1
Gura,Maria,gura_maria@gmail.com,0726357273,Brasov,Brasov,Romania,2990303575846,03/03/1999,Liceul_Forestier,7.8,1, Facultatea_de_biologie, Biochimie,7.6,-1
Bulbuceanu,Andrei,bulbuceanu_andrei@gmail.com,07729583435,Galati,Galati,Romania,1991208868546,08/12/1999,Liceul_nr6,9.8,1, Facultatea_de_fizica, Fizica,9.9,-1
Roata,Bianca,roata_bianca@gmail.com,07295939626,Iasi,Iasi,Romania,29906206748795,20/06/1999,Liceul_nr235,6.3,1, Facultatea_de_Fizica, Fizica,10,-1
Branza,Raluca,branza_raluca@gmail.com,0546267253,Craiova,Dolj,Romania,29912313646454,31/12/1999,Liceul_nr6,7.9,1, Facultatea_de_matematica_si_informatica, CTI,9.8,-1
fsf,fsf,sf,sf,df,fs,fs,fs,fs,fs,8.8,1,fsf,fsf,6.7,-1
